date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,year,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2024-02-08,700.74,707.94,694.55,696.41,69.602744325082,41442211,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-09,705.33,721.85,702.12,721.33,72.0933754024373,43663689,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-12,726.0,746.11,712.5,722.48,72.2083122298434,61371018,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-13,704.0,734.5,696.2,721.28,72.0883781490718,60258015,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-14,732.02,742.36,719.38,739.0,73.859404741798,50491742,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-15,738.69,739.75,724.0,726.58,72.6180870058128,42012181,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-16,741.0,744.02,725.01,726.13,72.5731117255234,49532662,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-20,719.47,719.56,677.34,694.52,69.4138481478668,70483310,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-21,680.06,688.88,662.48,674.72,67.4349358151366,69029813,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-22,750.25,785.75,742.2,785.38,78.4948569636175,86509974,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-23,807.9,823.94,775.7,788.17,78.7737037014113,82938837,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-26,797.0,806.4599,785.05,790.92,79.0485526365127,50397273,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-27,793.81,794.8,771.62,787.01,78.6577674233322,39170524,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-28,776.2,789.33,771.25,776.63,77.6203376246585,39311040,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-02-29,790.94,799.9,783.5,791.12,79.0685416499746,50728898,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,310.326,4.11633838374488,3.9,5.33,544169.0,4.21
2024-03-01,800.0,823.0,794.3503,822.79,82.2338019316698,47913510,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-04,841.3,876.95,837.19,852.37,85.1901770226879,61561645,0.0,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
2024-03-05,852.7,860.97,834.1701,859.64,85.9207754647212,52063930,0.04,1.0,NVDA,2023.0,18120000000.0,9243000000.0,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0,22723.719,68065.0,312.332,4.11633838374488,3.9,5.33,597695.0,4.21
