date,symbol,log_ret,volatility_20d,volume_change,ps_ratio,pe_ratio,rev_growth_qoq,real_rate,yield_curve,unemployment_change,close,is_trading_day
2023-04-29,AAPL,0.0,0.011673815729282687,-0.999999999999974,1.4483500349966711e-09,5.656377091806121e-09,0.29960286646107415,0.7136616162551199,-1.37,-0.02777777777777779,169.68,1.0
2023-04-30,AAPL,0.0,0.01092730663726602,-0.9999999999999722,1.4483500349966711e-09,5.656377091806121e-09,0.29960286646107415,0.7136616162551199,-1.37,0.0,169.68,1.0
2023-05-01,AAPL,-0.0005305509011179143,0.010700983758832808,0.4484558691605139,1.4475818153882924e-09,5.653376891792786e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,0.0,169.59,1.0
2023-05-02,AAPL,-0.006210649011101915,0.010772560166009058,0.33989385370953545,1.4386192532905405e-09,5.618374558303886e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,0.0,168.54,1.0
2023-05-03,AAPL,-0.006488311103993742,0.008104372804582493,0.8105428509831261,1.4293152602557317e-09,5.5820388025868385e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,167.45,1.0
2023-05-04,AAPL,-0.009962871988839767,0.00842472811716834,1.1623335072507077,1.4151458763678577e-09,5.526701780118674e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,165.79,1.0
2023-05-05,AAPL,0.04585904898141634,0.013239440921339626,1.6237366600002543,1.4815541936254844e-09,5.786052403493566e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.57,1.0
2023-05-06,AAPL,0.0,0.013239440921339626,-0.9999999999999769,1.4815541936254844e-09,5.786052403493566e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.57,1.0
2023-05-07,AAPL,0.0,0.013240598026894864,-0.9999999999999758,1.4815541936254844e-09,5.786052403493566e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.57,1.0
2023-05-08,AAPL,-0.00040337684587633056,0.013200709692218142,0.34826144521252145,1.4809566894856342e-09,5.783718914594306e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.5,1.0
2023-05-09,AAPL,-0.010021226737979814,0.01341425526542637,0.09517714052027013,1.4661898014579102e-09,5.726048403226882e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,171.77,1.0
2023-05-10,AAPL,0.010338179385026795,0.013453134655367837,0.2960929836285183,1.481426157024088e-09,5.785552370158011e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.555,1.0
2023-05-11,AAPL,0.0011229324109407327,0.013164820949610672,0.20738104035865473,1.4830906328422418e-09,5.792052803520234e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,173.75,1.0
2023-05-12,AAPL,-0.006814533185414003,0.013322286707349836,0.05189818504265645,1.4730184201990541e-09,5.752716847789852e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.57,1.0
2023-05-13,AAPL,0.0,0.013322286707349836,-0.9999999999999769,1.4730184201990541e-09,5.752716847789852e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.57,1.0
2023-05-14,AAPL,0.0,0.013331562755366799,-0.9999999999999758,1.4730184201990541e-09,5.752716847789852e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.57,1.0
2023-05-15,AAPL,-0.0029015804944212843,0.01310897580813886,-0.08248144775258968,1.4687505334858392e-09,5.736049069937996e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.07,1.0
2023-05-16,AAPL,0.0,0.013108361909095832,0.03932359721210479,1.4687505334858392e-09,5.736049069937996e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.07,1.0
2023-05-17,AAPL,0.00359670883151242,0.011663559118407128,0.4426774090938282,1.474042713010226e-09,5.756717114474298e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,172.69,1.0
2023-05-18,AAPL,0.013573567804096048,0.01191082160074797,0.6100249834182473,1.494187138296601e-09,5.8353890259350625e-09,0.29960286646107415,0.9436616162551195,-1.4899999999999998,-0.02857142857142858,175.05,1.0
