date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-07-15,255.72,260.3699,254.7727,256.72,249.975445002604,29774050,0.0,1.0
2022-07-18,259.75,260.84,253.3,254.25,247.570336911468,20975034,0.0,1.0
2022-07-19,257.575,259.72,253.68,259.53,252.711620604261,25012562,0.0,1.0
2022-07-20,259.9,264.87,258.91,262.27,255.379635247869,22788282,0.0,1.0
2022-07-21,259.79,264.89,257.03,264.84,257.882116136217,22404675,0.0,1.0
2022-07-22,265.24,265.33,259.07,260.36,253.51981482112,21881290,0.0,1.0
2022-07-25,260.995,261.5,256.81,258.83,252.030011023777,21055998,0.0,1.0
2022-07-26,259.86,259.88,249.57,251.9,245.282076176987,39347957,0.0,1.0
2022-07-27,261.16,270.05,258.85,268.74,261.679655227485,45994049,0.0,1.0
2022-07-28,269.75,277.84,267.87,276.41,269.148148773644,33459327,0.0,1.0
2022-07-29,277.7,282.0,276.63,280.74,273.364390892923,32152752,0.0,1.0
2022-08-01,277.82,281.28,275.84,278.01,270.706113529035,21539580,0.0,1.0
2022-08-02,276.0,277.89,272.38,274.82,267.599921297973,22754184,0.0,1.0
2022-08-03,276.76,283.5,276.61,282.47,275.04894028469,23518874,0.0,1.0
2022-08-04,281.8,283.8,280.1677,283.65,276.197939291791,18098668,0.0,1.0
2022-08-05,279.15,283.65,278.68,282.91,275.477380592423,16774606,0.0,1.0
2022-08-08,284.05,285.92,279.32,280.32,272.955425144632,18757818,0.0,1.0
2022-08-09,279.64,283.08,277.61,282.3,274.88340652943,23405238,0.0,1.0
2022-08-10,288.17,289.81,286.94,289.16,281.563180418172,24687845,0.0,1.0
2022-08-11,290.85,291.21,286.51,287.02,279.479402557835,20065938,0.0,1.0
2022-08-12,288.48,291.91,286.94,291.91,284.240932341501,22619675,0.0,1.0
2022-08-15,291.0,294.18,290.11,293.47,285.759947978008,18085654,0.0,1.0
2022-08-16,291.99,294.04,290.42,292.71,285.019914719197,18102882,0.0,1.0
2022-08-17,289.74,293.35,289.47,291.32,284.270144180665,18253358,0.62,1.0
2022-08-18,290.189,291.91,289.08,290.17,283.147973832567,17186192,0.0,1.0
2022-08-19,288.9,289.25,285.56,286.15,279.22525661574,20570033,0.0,1.0
2022-08-22,282.08,282.46,277.22,277.75,271.028534073114,25061070,0.0,1.0
2022-08-23,276.44,278.86,275.4,276.44,269.750235676586,17527409,0.0,1.0
2022-08-24,275.41,277.23,275.11,275.79,269.115965479835,18137019,0.0,1.0
2022-08-25,277.33,279.02,274.52,278.85,272.101914406077,16583407,0.0,1.0
2022-08-26,279.08,280.34,267.98,268.09,261.602303149095,27549307,0.0,1.0
2022-08-29,265.85,267.4,263.85,265.23,258.811514283392,20121371,0.0,1.0
2022-08-30,266.67,267.05,260.66,262.97,256.606205599305,22767071,0.0,1.0
2022-08-31,265.39,267.11,261.33,261.47,255.142505145264,24791834,0.0,1.0
2022-09-01,258.87,260.89,255.41,260.4,254.098398821382,23263431,0.0,1.0
2022-09-02,261.695,264.74,254.47,256.06,249.863425507693,22855380,0.0,1.0
2022-09-06,256.2,257.83,251.94,253.25,247.121426657124,21283869,0.0,1.0
2022-09-07,254.7,258.83,253.22,258.09,251.84430012216,24126700,0.0,1.0
2022-09-08,257.51,260.43,254.79,258.52,252.263894252319,20319911,0.0,1.0
2022-09-09,260.5,265.23,260.29,264.46,258.060148050318,22093190,0.0,1.0
2022-09-12,265.78,267.45,265.16,266.65,260.197150713217,18747690,0.0,1.0
2022-09-13,258.84,260.4,251.59,251.99,245.89191827573,33353318,0.0,1.0
2022-09-14,253.53,254.23,249.86,252.22,246.11635234535,23912954,0.0,1.0
2022-09-15,249.77,251.4,244.02,245.38,239.441878274926,31530948,0.0,1.0
2022-09-16,244.26,245.3,242.0627,244.74,238.817366081202,39791768,0.0,1.0
2022-09-19,242.465,245.14,240.85,244.52,238.60269001461,26826931,0.0,1.0
2022-09-20,242.065,243.51,239.64,242.45,236.582783388034,26660299,0.0,1.0
2022-09-21,244.27,247.66,238.9,238.95,233.167482328607,28625557,0.0,1.0
2022-09-22,237.8704,243.86,237.57,240.98,235.148356943075,30927092,0.0,1.0
2022-09-23,239.54,241.13,235.2,237.92,232.162408016833,34176048,0.0,1.0
2022-09-26,237.045,241.45,236.9,237.45,231.703781874567,27694190,0.0,1.0
2022-09-27,239.98,241.8,234.5,236.41,230.688949559766,27018732,0.0,1.0
2022-09-28,236.81,242.33,234.73,241.07,235.236178970317,29029679,0.0,1.0
2022-09-29,238.89,239.95,234.41,237.5,231.752571889702,27484233,0.0,1.0
2022-09-30,238.29,240.54,232.73,232.9,227.263890497312,35694832,0.0,1.0
2022-10-03,235.41,241.61,234.66,240.74,234.914164870429,28880357,0.0,1.0
2022-10-04,245.09,250.36,244.975,248.88,242.857179334353,34888416,0.0,1.0
2022-10-05,245.99,250.58,244.1,249.2,243.169435431215,20347136,0.0,1.0
2022-10-06,247.93,250.34,246.08,246.79,240.817756701724,20239886,0.0,1.0
2022-10-07,240.902,241.32,233.17,234.24,228.571462902921,37769602,0.0,1.0
2022-10-10,233.05,234.559,226.73,229.25,223.70221939248,29743608,0.0,1.0
2022-10-11,227.62,229.06,224.11,225.41,219.955146230138,30473954,0.0,1.0
2022-10-12,225.4,227.86,223.96,225.75,220.286918333053,21903937,0.0,1.0
2022-10-13,219.85,236.1,219.13,234.24,228.571462902921,42551818,0.0,1.0
2022-10-14,235.54,237.24,228.34,228.56,223.028917183622,30198588,0.0,1.0
2022-10-17,235.82,238.96,235.135,237.53,231.781845898782,28142268,0.0,1.0
2022-10-18,243.24,243.93,235.37,238.5,232.728372192395,26329591,0.0,1.0
2022-10-19,237.04,239.61,234.29,236.48,230.757255580954,19985698,0.0,1.0
2022-10-20,235.77,241.31,234.87,236.15,230.435241481065,21811015,0.0,1.0
2022-10-21,234.74,243.0,234.5,242.12,236.260769288146,26299733,0.0,1.0
2022-10-24,243.76,247.84,241.295,247.25,241.266624840963,24911212,0.0,1.0
2022-10-25,247.26,251.04,245.83,250.66,244.594103873148,34775505,0.0,1.0
2022-10-26,231.17,238.3,230.06,231.32,225.722126019056,82684846,0.0,1.0
2022-10-27,231.04,233.69,225.78,226.75,221.262718635747,40424645,0.0,1.0
2022-10-28,226.24,236.6,226.05,235.87,230.162017396311,40647724,0.0,1.0
2022-10-31,233.76,234.92,231.15,232.13,226.512524264238,28357265,0.0,1.0
2022-11-01,234.6,235.74,227.325,228.17,222.648355065571,30592271,0.0,1.0
2022-11-02,229.46,231.3,220.04,220.1,214.773646622835,38407008,0.0,1.0
2022-11-03,220.09,220.41,213.98,214.25,209.065214852078,36633922,0.0,1.0
2022-11-04,217.55,221.59,213.431,221.39,216.03242901331,36789063,0.0,1.0
2022-11-07,221.99,228.41,221.28,227.87,222.355614974763,33497979,0.0,1.0
2022-11-08,228.7,231.65,225.84,228.87,223.331415277457,28192548,0.0,1.0
2022-11-09,227.37,228.6327,224.33,224.51,219.076925957713,27852910,0.0,1.0
2022-11-10,235.43,243.33,235.0,242.98,237.099957548462,46268021,0.0,1.0
2022-11-11,242.99,247.99,241.93,247.11,241.130012798586,34620246,0.0,1.0
2022-11-14,241.985,243.91,239.21,241.55,235.70456311561,31123340,0.0,1.0
2022-11-15,245.66,247.0,240.03,241.97,236.114399242742,31390117,0.0,1.0
2022-11-16,242.79,243.8,240.42,241.73,236.543751375927,24093272,0.68,1.0
2022-11-17,237.78,243.25,237.63,241.68,236.494824111753,23123544,0.0,1.0
2022-11-18,243.51,243.74,239.03,241.22,236.044693281351,27613523,0.0,1.0
2022-11-21,241.43,244.67,241.19,242.05,236.856885866641,26394700,0.0,1.0
2022-11-22,243.59,245.31,240.71,245.03,239.772950811415,19665699,0.0,1.0
2022-11-23,245.105,248.28,244.27,247.58,242.268241284292,19508462,0.0,1.0
2022-11-25,247.31,248.7,246.73,247.49,242.180172208779,9200772,0.0,1.0
2022-11-28,246.08,246.65,240.8,241.76,236.573107734431,24810271,0.0,1.0
2022-11-29,241.4,242.79,238.21,240.33,235.173787979053,17956313,0.0,1.0
2022-11-30,240.57,255.33,239.86,255.14,249.66604362741,47594239,0.0,1.0
2022-12-01,253.87,256.12,250.9156,254.69,249.225698249844,26041524,0.0,1.0
2022-12-02,249.82,256.06,249.69,255.02,249.548618193393,21528520,0.0,1.0
2022-12-05,252.01,253.819,248.06,250.2,244.832029927013,23435294,0.0,1.0
2022-12-06,250.82,251.86,243.78,245.12,239.861019886928,22463727,0.0,1.0
2022-12-07,244.83,246.16,242.205,244.37,239.127110924317,20481522,0.0,1.0
2022-12-08,244.84,248.74,243.06,247.4,242.092103133265,22611757,0.0,1.0
2022-12-09,244.695,248.31,244.16,245.42,240.154583471973,20609743,0.0,1.0
2022-12-12,247.445,252.54,247.17,252.51,247.092469531855,30665069,0.0,1.0
2022-12-13,261.69,263.915,253.07,256.92,251.407854232007,42196884,0.0,1.0
2022-12-14,257.13,262.588,254.31,257.22,251.701417817052,35410933,0.0,1.0
2022-12-15,253.72,254.2,247.34,249.01,243.66756103967,35568093,0.0,1.0
2022-12-16,248.55,249.84,243.51,244.69,239.440245415031,86101994,0.0,1.0
2022-12-19,244.86,245.21,238.71,240.45,235.291213413071,29696436,0.0,1.0
2022-12-20,239.4,242.91,238.42,241.8,236.61224954577,25150802,0.0,1.0
2022-12-21,241.69,245.615,240.11,244.43,239.185823641326,23690607,0.0,1.0
2022-12-22,241.255,241.99,233.87,238.19,233.079701072403,28651664,0.0,1.0
2022-12-23,236.11,238.87,233.9428,238.73,233.608115525483,21206982,0.0,1.0
2022-12-27,238.7,238.93,235.83,236.96,231.876090373721,16688648,0.0,1.0
2022-12-28,236.89,239.72,234.17,234.53,229.498225334862,17457104,0.0,1.0
2022-12-29,235.65,241.92,235.65,241.01,235.83919877182,19770693,0.0,1.0
2022-12-30,238.21,239.96,236.66,239.82,234.674729884477,21938472,0.0,1.0
2023-01-03,243.08,245.75,237.4,239.58,234.439879016442,25740036,0.0,1.0
2023-01-04,232.275,232.87,225.96,229.1,224.184724445558,50623394,0.0,1.0
2023-01-05,227.2,227.55,221.7602,222.31,217.54040197072,39585623,0.0,1.0
2023-01-06,223.0,225.7601,219.35,224.93,220.104190613441,43613574,0.0,1.0
2023-01-09,226.45,231.2366,226.41,227.12,222.247204784265,27369784,0.0,1.0
2023-01-10,227.755,231.31,227.33,228.85,223.940088124688,27033881,0.0,1.0
2023-01-11,231.29,235.95,231.11,235.77,230.711621486378,28669331,0.0,1.0
2023-01-12,235.26,239.9,233.56,238.51,233.392835563117,27269486,0.0,1.0
2023-01-13,237.002,239.37,234.92,239.23,234.097388167223,21333265,0.0,1.0
2023-01-17,237.97,240.91,237.09,240.35,235.193358884722,29831257,0.0,1.0
2023-01-18,241.565,242.38,235.52,235.81,230.750763297718,30028692,0.0,1.0
2023-01-19,233.78,235.52,230.68,231.93,226.95400759781,28623033,0.0,1.0
2023-01-20,234.855,240.74,234.51,240.22,235.06614799787,35389809,0.0,1.0
2023-01-23,241.1,245.165,239.65,242.58,237.375514866886,31933951,0.0,1.0
2023-01-24,242.5,243.95,240.44,242.04,236.847100413806,40234444,0.0,1.0
2023-01-25,234.48,243.3,230.9,240.61,235.447780658428,66526641,0.0,1.0
2023-01-26,243.65,248.31,242.0,248.0,242.679230303354,33454491,0.0,1.0
2023-01-27,248.99,249.83,246.83,248.16,242.835797548711,26498939,0.0,1.0
2023-01-30,244.51,245.6,242.2,242.71,237.502725753738,25867365,0.0,1.0
2023-01-31,243.45,247.95,242.945,247.81,242.493306699493,26541072,0.0,1.0
2023-02-01,248.0,255.18,245.47,252.75,247.32732039989,31259912,0.0,1.0
2023-02-02,258.82,264.69,257.25,264.6,258.923082009143,39940437,0.0,1.0
2023-02-03,259.542,264.2,257.1,258.35,252.807173987385,29077256,0.0,1.0
2023-02-06,257.44,258.3,254.78,256.77,251.261072439485,22517997,0.0,1.0
2023-02-07,260.53,268.775,260.08,267.56,261.819576048248,50841365,0.0,1.0
2023-02-08,273.2,276.76,266.21,266.73,261.007383462958,54686049,0.0,1.0
2023-02-09,273.8,273.98,262.8,263.62,257.964107631332,42375102,0.0,1.0
2023-02-10,261.53,264.09,260.662,263.1,257.455264083921,25818489,0.0,1.0
2023-02-13,267.64,274.6,267.15,271.32,265.498906314137,44630921,0.0,1.0
2023-02-14,272.67,274.97,269.28,272.17,266.330669805096,37047924,0.0,1.0
2023-02-15,268.32,270.73,266.18,269.32,264.207226539942,28962163,0.68,1.0
2023-02-16,264.02,266.74,261.9,262.15,257.17334188863,29603616,0.0,1.0
2023-02-17,259.39,260.09,256.0,258.06,253.160986487812,30000055,0.0,1.0
2023-02-21,254.48,255.49,251.59,252.67,247.873310299447,28397444,0.0,1.0
2023-02-22,254.09,254.34,250.34,251.51,246.73533175056,22491056,0.0,1.0
2023-02-23,255.56,256.84,250.48,254.77,249.93344387933,29219095,0.0,1.0
2023-02-24,249.96,251.0,248.1,249.22,244.488805132498,24990905,0.0,1.0
2023-02-27,252.46,252.82,249.39,250.16,245.410960163493,21190042,0.0,1.0
2023-02-28,249.07,251.49,248.73,249.42,244.685008330582,22490950,0.0,1.0
2023-03-01,250.76,250.93,245.79,246.27,241.594807960759,27565259,0.0,1.0
2023-03-02,246.55,251.4,245.61,251.11,246.342925354392,24833646,0.0,1.0
2023-03-03,252.19,255.62,251.39,255.29,250.443572194348,30760136,0.0,1.0
2023-03-06,256.425,260.12,255.98,256.87,251.993577459212,24109849,0.0,1.0
2023-03-07,256.3,257.69,253.39,254.15,249.325213965269,21473179,0.0,1.0
2023-03-08,254.04,254.5417,250.81,253.7,248.88375676958,17340217,0.0,1.0
2023-03-09,255.82,259.56,251.58,252.32,247.5299547028,26653387,0.0,1.0
2023-03-10,251.08,252.79,247.6,248.59,243.870765058533,28333930,0.0,1.0
2023-03-13,247.4,257.91,245.73,253.92,249.099580287472,33339721,0.0,1.0
2023-03-14,256.75,261.07,255.86,260.79,255.839160141659,33620293,0.0,1.0
2023-03-15,259.98,266.48,259.21,265.44,260.400884497112,46028047,0.0,1.0
2023-03-16,265.205,276.56,263.28,276.2,270.956616554032,54832140,0.0,1.0
2023-03-17,278.26,283.33,276.3201,279.43,274.125298203089,69527371,0.0,1.0
2023-03-20,276.98,277.48,269.85,272.23,267.061983072065,43466649,0.0,1.0
2023-03-21,274.88,275.0,269.5191,273.78,268.582557857216,34558704,0.0,1.0
2023-03-22,273.4,281.04,272.18,272.29,267.12084403149,34873330,0.0,1.0
2023-03-23,277.94,281.06,275.2,277.66,272.388899900046,36610879,0.0,1.0
2023-03-24,277.24,280.63,275.28,280.57,275.243656432168,28199962,0.0,1.0
2023-03-27,280.5,281.4589,275.52,276.38,271.133199432308,26840212,0.0,1.0
