date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-03-18,649.24,683.4,647.4,679.86,650.374723913803,1678452,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-21,678.22,683.39,669.0,682.91,653.29244654484,1287086,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-22,688.0,698.1,685.3,688.74,658.869601606791,1109742,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-23,668.8,679.374,663.605,665.36,636.50358353674,999050,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-24,666.2,690.55,663.2,690.54,660.591536274288,1176673,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-25,690.46,690.75,672.3,687.36,657.549451695043,766932,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-28,680.11,695.0,676.0,694.83,664.695480565157,687308,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-29,710.0,714.62,697.67,709.14,678.384861171762,1076191,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-30,700.0,702.75,680.115,684.56,654.870886656713,1031932,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-03-31,684.49,689.1,667.5,667.93,638.962123589778,780922,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,287.504,8.00279982052121,3.7,0.2,584512.0,2.13
2022-04-01,675.29,677.185,661.825,667.73,638.770797515612,739406,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-04,672.49,681.54,669.99,680.83,651.30265537351,731410,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-05,674.02,675.15,645.7852,646.46,618.423269528016,1249820,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-06,626.09,639.31,617.4,628.51,601.251754371583,1110652,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-07,624.53,632.1,612.78,625.3,598.180970881212,713506,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-08,621.42,622.41,610.0,610.93,584.434192452357,840958,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-11,607.04,610.63,597.13,597.74,571.816237861084,859587,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-12,613.07,622.5,592.0,594.0,568.238440274173,1067881,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-13,601.41,617.21,596.42,612.76,586.18482603098,934257,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-14,614.52,616.51,596.0,597.87,571.940599809292,814154,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-18,597.05,613.86,595.77,605.58,579.316219968407,576951,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
2022-04-19,597.53,619.115,596.0,617.15,590.384433358932,1230779,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65774.0,289.109,8.00279982052121,3.7,0.33,582200.0,2.75
